score,review_at,content
3.8,2024/12,仕事終わりに予約して来店平日なのに満席に近い状態で予約は必須かも！？私たちは写真の料理を頼みました！お寿司にはワサビではなく、辛子が入っているらしい…苦手なので抜いてもらいましたアシタバの天ぷら、このサイズでハーフサイズ！かなりボリュームありましたー牡蠣は衣が大きくて味が小さかったです。ちょい残念これはカマ焼き！メニューの左下にあった気がします！味が濃いめで酒が進みます笑お酒の氷抜きができて量が減らないのは個人的に◎大変美味しかったので、また来ようと思います〜！
3.5,2024/12,"二軒目利用だったので、本当は刺身とかもっといろいろ行きたかったけど、何せ腹一杯で。名物の明日葉天麩羅と、島寿司7つを食べた。三宅島には学生時代よく船で出かけていたから、島料理には馴染みがあり。くさやも食べたかっけどなにせ1,900円！もして高級品感満載で諦めた。"
3.5,2024/11,活気あふれる大衆居酒屋です。土曜日の夜ということもあり店内は賑わっていました。刺身の盛り合わせはどれも新鮮で、特にマグロの赤身がとろけるような舌触りでした。串もどれも美味しく、特に帆立バター焼きが食べやすかったです。店員さんの対応も明るく、居心地の良い空間でした。値段も手頃で、また訪れたいと思えるお店です。コスパ最高でサービスも良かったです。予約しなければ多少待たなきゃいけないので要注意。　島寿司はとても新鮮で美味しいです。一番おすすめしたいメニューはいわし大葉包み揚げです。
3.5,2024/11,仕事帰りに職場の同僚から美味しいと聞いたお店をみつけて初入店。木曜日の19時半くらいでしたが席はほぼ満席。諦めて帰ろうかと思ったら、若い店員さんが席を作ってくれました。見る限り一人飲みの客はおらず、ちょっと場違いだったかな？と思いながらも席に着いて発注スタートです。こちらのお店も今流行りのスマホで注文スタイル。便利かも知れないけど、僕は店員さんとお話ししながら頼みたいタイプ。わがままですみません。最初に目に入ったのは、あしたば塩で食べる魚天。これは食べてみたいと思って注文。そして次に迷ったのは刺身10切と島寿司7貫。どちらも捨てがたいところでしたが、刺身を10切れ食べたらお寿司は食べられないと思って島寿司を注文。しばらくしての登場はどちらもボリュウムたっぷり。これでこの値段はかなりのお得。せっかくなら一人じゃなくて何人かで来て、もっと色々と頼みたくなりますね。今度は友達連れてまた来ます。ごちそうさまでした。
3.5,2024/11,料理はすごく美味しい！八丈島の島寿司を食べられるところは珍しいし、あしたばもなかなか食べる機会がないから楽しめました。ただ、店に入っても店員さんにこちらから声をかけないと無視される不思議な空間です。あとから来たお客さんもそうだったので、そういう店なのかな。
3.8,2024/11,初めて降りる新小岩駅。八丈島郷土料理 源八船頭 新小岩店 さんにお邪魔しました。お店の中に入ると長よく落ち着いた雰囲気によく来るサラリーマンの賑わいが素敵。メニューは食べ物はあまり見ないメニューがちょこちょこあり、飲み物も島焼酎がぞろり。テンション上がります。八丈島といえば明日葉。明日葉の天ぷらを頼みましたが、これよ、これっ！という美味しさ。(写真は撮り忘れました)島寿司も他のお料理も美味しく、お腹いっぱいになるまで色々食べました。都内にはお店出てないのが残念なほど気に入ってしまいました。ご馳走様です。また機会があればお伺いしたいです。
3.8,2024/11,久しぶりにお伺いしました！！やっぱり島寿司が絶品ですねー！！べっこうのように輝くお寿司は美味しい。明日葉の天ぷらも外せませんー！！大きな明日葉の天ぷらはボリューミーで苦味も感じずに食べられます。焼きおにぎりも美味しかったーー！またお伺いします。
5.0,2024/11,初めて訪れた昭和感漂うお店。刺身　オムレツ　牡蠣フライ　アジフライとどれも美味しかった。　注文はアプリからで注文するとすぐに食事が運ばれてきて良かったです。精算もアプリで完了とはびっくり。また行きます。
3.3,2024/11,平日19時に3名事前席だけ予約して訪問。入店時奥の座敷もほぼ満席。the昭和の居酒屋と言う雰囲気でテンションあがります。メニューも馴染みない八丈島の食材、焼酎もあり生注文後は明日葉の天ぷら、刺身盛り合わせを注文、明日葉は揚げたてサクサクであまりに美味しく追加で注文、刺身は厚くボリュームありました。芋の八丈島の焼酎も癖なく水割りで飲み干しました。新小岩来た際はおすすめですね。
4.8,2024/10,新小岩の人気店！ディープな雰囲気の中にある良店です。19時から予約し訪問。既に満席。ただ早くから飲まれている人は一周して出ていかれる方もちらほら。オススメ商品を中心に注文しました。島ずし、あしたばの天ぷら、刺身五種盛り、とうふサラダ。一品一品ボリュームもあり、さらに全て美味しい。2時滞在して、そこそこドリンクもオーダーしてお腹いっぱいでした。料金もびっくりするほどリーズナブル。新小岩また立ち寄ります。
4.0,2024/10,やはり島寿司が美味しかった。あしたばの天ぷらは思ったより量が多いため、女性2人でハーフサイズでちょうどいいと思った。量が多く胃もたれしてしまうと思ったが、そんなことないくらいパクパクといけてしまうくらい美味しかった。
4.3,2024/10,2024年10月訪問平日の夜に予約して訪問。大変失礼ながら最初はそこまで期待していなかったのですが、、お料理はどれも美味しく、島寿司にあしたばの天ぷら、マグロのかま焼き等、それ以外にもかなり頼みましたがどれも絶品でした！つぶ貝も非常に美味しかったです。日本酒の種類が少なかったのがやや残念です。そして焼き鳥、つくねは冷凍もの？的なあまりやる気のない感じも残念でした笑が、それをカバーする他の料理達！またお伺いしたいと思いました。ご馳走様でした！
3.0,2024/10,八丈島に特化した海鮮居酒屋。QRコードでオーダーから会計までできるスタイル。あしたばが推しで、メニューにバリエーションが多い。刺盛りが厚みがすごいと書いてあったのでオーダー。厚みが1.5cmくらいのマグロ。食べ応えありでした。あしたばの天ぷらがハーフでも、まあまあある！他にもイワシの梅肉フライも大きめが３尾。お酒がもう少しお安いとさらに嬉しいかな。カウンター下にしっかり荷物が置けるのが地味に嬉しい。奥に大宴会が出来そうな座敷もあり、3〜4人以上で行くにはちょうど良い居酒屋だと思いました。
3.0,2024/10,【乱中のひとりで酒場放浪シリーズ】あしたば天ぷらは、ちょっと油っぽいので、天つゆを頼みました。酒盗クリームチーズ、美味しかった。山芋スタミナ巻き、刺身、納豆、山芋をレタスと海苔で巻いている。これはヘルシーで美味しかった。　あしたばアイスは、抹茶アイスとの違いがわからない。トコブシやわらか煮を食べたかったが、売り切れで残念。それなりの値段なので、あまりお得感はないです。食べたもの・あしたば天ぷらハーフ　500円・島寿司７貫　1080円・酒盗クリームチーズ　600円　←おススメ・イカ肝合え　480円・山芋スタミナ巻き　880円　←おススメ・あしたばアイス　350円飲んだもの・八丈島焼酎　八重椿（ソーダ割り）　550円・八丈島焼酎　島の華（ソーダ割り）　550円・八丈島焼酎　一本釣り（ソーダ割り）　550円・八丈島焼酎　ジョナリー（ソーダ割り）　650円
3.0,2024/09,平日でもほぼ満席なため、予約しといた方が安心と思います。座敷席もあります。卓上QRでオーダーできます。源八来たら島寿司とあしたばの天ぷらはマストですよね。新小岩で飲みたい店の上位店だとおもいますよ。
4.0,2024/08,職場の先輩・後輩と利用しました。刺身が分厚くて美味しかったです。とこぶしが柔らかくて最高でした。明日葉の天ぷらをおかわりしまくって、満足な飲み会となりました。座敷席とテーブル席があり、4人以上だと座敷席を案内されるようです。
4.5,2024/08,活気溢れる店内。お魚がどれも新鮮で美味しかったです。ホッキ貝の刺身を頂きましたが、食感がコリコリしていてとても美味しかったです。レモンと塩でいただきました〜刺身はどれも分厚く切ってあり、とても贅沢な気分を味わいました
4.5,2024/08,金曜の仕事が残業で、頑張って仕事したので島寿司食べたくなり新小岩へ。22時ラストオーダーで21時40分に入店。ギリセーフ。メニューは迷いなく島寿司で2人前を頼みました。飲み物は生中、お通しの枝豆との相性抜群。島寿司到着し、一瞬で食べ終えてしまいました。美味過ぎです。
5.0,2024/08,毎度のことですが、八丈島の郷土料理(あしたば、島寿司)はもちろん、こだわりのきいた唐揚げなどもとても美味しく、連れにも大変満足していただきました。昔あったウニいくら握りが無くなったのは残念ですが、美味しい物は美味しいので良しとします。
3.6,2024/08,新小岩駅ロータリーを過ぎ小道に入ったところにあります。郷土料理、刺身などが人気な居酒屋さん。メニュー数も多く、やっぱり刺身のカットの大きさも魅力的家の近くにあったらいいなと思う居酒屋さんでした。
-,2024/08,2024/8/5(月) 19:59訪問9割位のうまり注文はモバイルオーダー(Air regi)Air regiはリクルートアカウントでログインすると登録済のクレジットカードでの決済まで可能島寿司7貫は、鮪やハマチがメイン魚が漬けになっているのが島寿司の特徴のようしゃりが型かしゃりマシンで作成されているようで、全て同じ形&魚とご飯の密着度が低い他の店舗でのコメントで、しゃり小に対応していないと回答されたとのことからも、上記の裏付けになると思う八丈島やきそばペペロンチーノは、八丈島やきそばの特徴が分からなかったあしたば天ぷらハーフは、サクサクで、苦味もない味と健康度を兼ね備えていてよい美桜鶏のあごだしからあげは、使っている部位が全て胸肉のようで、ぱさぱさめあごだしはそれほど感じなかったAir regiでカード決済をして、レシートを店員さんにもらって退店ごちそうさまでした
3.7,2024/07,コロナ明け久々の訪問。コロナ前は年に2回くらいは定期的にきてましたが。本格的な八丈島料理が味わえます。必ず頼むのは【明日葉天ぷら】【島寿司】【お刺身盛り合わせ】これと焼酎ボトル、仲間内で延々と飲んでられます。ただ週末、人気店だけに2時間制…が残念…仲間内に遠慮しながら写真撮って、値段とかは詳しく調べてませんが、魚の煮付けとかもうまいし、魚介系が好きな人は満足できるお店です。東京東部に来た際は是非。
4.2,2024/07,新小岩で魚食うなら第1候補にはいってくる店寿司も美味しいが、貝や魚が基本美味しいのでハズレは無い。だけどここの明日葉の天ぷらは、いくらでも食べれる代物。予約はした方が良い。基本金曜日は満席に近い
3.6,2024/07,八丈島の郷土料理のお店です。４人の飲み会（男２女２）で予約し、１９時１５分スタート。私は３回目の来店。男性は席が場所によっては狭いかも。お通し１人330円（税込）。看板メニューの八丈島の郷土料理の「島寿し」が、いつ食べても美味しい。「明日葉（別名は八丈草）」も郷土料理の名物。「イカ肝合え（税込520円）」は更に美味しい！！！今まで食した中で１番まろやかです。思わず、もう一皿頼みそうになりました。皆で郷土の焼酎の「ジョナリー」をボトルで頼む。ボトルを頼むと「氷・水セット（１人税込160円）」。気が付けば閉店までいて、帰るよう促され、店にとって本日の最後の客となる。ランチも素晴らしいお店なので、機会があれば再訪したいお店です。
3.4,2024/07,美味しい八丈島料理の居酒屋さんです。お刺身、お魚の焼き物料理は絶品です。お酒も、島の焼酎などはクセが強い香りのものが料理によく合います。カウンター席も多く、一人で来られている方もいらっしゃいます。お料理目当てで通いたくなるお店でした。
3.5,2024/06,新小岩で飲むなら！伺う頻度が多いお店です。路地にあるので初めてだと分かりにくいですが駅からも徒歩5分ほどで近い、人気店です。金曜日18時ごろ伺い、7割くらいの混雑。2名利用、カウンター数席空いていたのですぐに入れました。ハシゴ飲みの2店舗目だったので今回注文は少なめですが、大皿メニューが多い中、ハーフで頼めるようになったのが良かったです！お通し　300円（枝豆）あしたば天ぷらハーフ　500円山芋スタミナ巻き　880円他お酒は500円〜前後（お酒は濃い目）なにより源八は、山芋スタミナ巻きが美味しい！海苔巻きの白飯部分が山芋なのでサクサク食感、バクバク食べれてしまう。マグロも大ぶり、ひきわり納豆、シソと一口で満足感もありながらヘルシーなのが魅力。山芋めんたい巻きもおすすめ。
3.7,2024/06,八丈島料理を堪能できる源八船頭さん2年ぶりの訪問になります。スタッフの方が背中に「おじゃりやれ（＝八丈島の方言で、いらっしゃいませ）」と書かれたTシャツを着て迎えてくれます注文マストは、明日葉の天ぷら、お刺身盛り合わせ、島寿司です天ぷらや揚げものはどれもカラッと揚げていて美味しい。明日葉は写真はハーフですが、サクサク食べれるのでフルサイズが絶対にオススメです。結局追加でフルサイズも頼みました。明日葉以外にも、穴子の天ぷら、骨まで全部うまい丸ごとカレイ唐揚げ、カキフライも頂きましたオススメのポンズサワーが揚げ物たちと良く合います◎お刺身盛り合わせは、どれも新鮮で分厚くて食べ応え十分島寿司はいわゆるヅケというか醤油ベースのタレにつけてあり、ワサビではなく、カラシがついています。なんでも八丈島では、かつてはワサビが自由に手に入らなかったため代わりに練りがらしを使ったそうですそのほか、しまらっきょう、あげカニシューマイ、イカの刺身、イカの沖漬け、赤海老の刺身、カニみそ巻き寿司、鯖の押し寿司などなど、堪能しつくしましたシメに食べた、焼きそば（ペペロンチーノ）も美味しかったですお店の雰囲気も昔ながらで居心地よくて時を忘れます新小岩で八丈島気分をぜひ味わってみてください◎
4.5,2024/05,賑やかで嫌な雰囲気の無いお店です。食事もなんでも美味しい。接客も良いです。八丈島の郷土料理がたべれます。家族で来てる方も多く居心地がいいんだと思います。私は明日葉の天ぷらハーフがお気に入りです。
3.6,2024/05,大瓶ビール（赤星）、島寿司一人前（七貫）、レモンサワージョッキ、海鮮ユッケ、豆あじ唐揚げ、魚のあら煮（量が多いので注意）を注文。QR読み込んで、注文します。落ち着いた雰囲気のお店。店員さんも愛想が良く、色々な魚が味わえて良い。どれも美味しくて、ついつい色々と注文してしまいました。お腹いっぱいです。邪道ですが、ユッケのタレに島寿司つけて食べると更に美味しかったです。
3.0,2024/04,友人と江戸川ボートに伺った帰りの打ち上げで伺いました。ホルモン平田さんに伺おうとしましたが予約がいっぱいで入れずで近くのこちらのお店に訪問しました。・並び：土曜17時頃の訪問でほぼ満席状態でした　　　　退店時には待ち客もいる感じでした。・店内：座敷席やらテーブル席やらでかなり席数は多い様子でした。・注文：刺身盛り合わせ、アジフライ、たたききゅうり他・味：刺身やアジフライなどの海鮮系が美味しい印象です・感想：コロナ禍も終わり人も出ているので土曜は予約必須ですね　　　　美味しくいただきました
4.0,2024/04,こちらのお店は新小岩にある八丈島料理のお店です。駅から割と近くにありますが、一見入りにくい雰囲気でした。ただ、入ってみると木造の良い雰囲気のお店で、中でも大きなお寿司が美味しかったです！！！また行きたいです！
3.8,2024/04,小松川の千本桜花見から荒川を挟んで対岸に移動、漫画の編集者時代は担当連載の作家さんの仕事場が近辺にあり夢に出てくるほど通った街並み、友人らの実家もあるなど何かと縁深く。来るたび活気ある新小岩商店街と飲み屋の並ぶ路地をぶらつくのも楽しみですが、初訪問のこちらは予想以上。活気があるなんてもんじゃない大繁盛で80席ほどの店内は早い時間から埋まり、その後もひっきりなし。創業30年以上、なぜこの地で八丈島郷土料理かは不明なれど高円寺の沖縄料理の老舗名店｢抱瓶｣に通じる昭和風情の香りとテイストに満ち…銘柄揃えたレアな八丈焼酎を飲み比べながら、アテにたまらんイカ肝和え、島野菜のあしたばの天麩羅に魚天、大きな海老マヨ、島とうがらしの卵焼きと盛り盛りで旨し、もちろん島寿司も。近々の本島訪問ありやと夢想しつつ、心地よい酩酊。
3.7,2024/03,八丈島の郷土料理を食べるのは初めてでした。お店の外に書かれているメニューを見て、明日葉（あしたば）や海鮮に惹かれて入店。土曜の夜でしたが、お店は満席。タイミングがよかったのか、5分ほど待ってすぐに入れました。注文したメニューはこちら。・刺身３種盛り合わせ・魚のアラ煮・明日葉の胡麻和え・明日葉の天ぷら(ハーフ)・しめ鯖炙り・里芋と鰹の酒盗・いかの肝あえビールや芋焼酎を飲みながらいただきましたが、どれもお酒に合って、抜群に美味しい！！刺身はとっても身が厚い！まぐろ赤身、サーモン、ブリの3種でしたが、どれも脂がのってて新鮮で美味しい。魚のアラには、想像の5倍くらい身があって驚きました。太っ腹すぎます！全然アラじゃないです。笑これまたよく煮込まれてて味染み染みで、最高でした。大根も美味すぎる。明日葉は初めてでしたが、天ぷらと、胡麻和えの2種類をいただきました。茎の部分は若干ほろ苦さもあり、春菊のような香りもありましたが、好きな味でした♪天ぷらもハーフで頼んだのに1人前サイズで出てきます。笑このお店は良い意味で、全体的にボリュームがあって嬉しい限り！その他、イカの肝あえ、鰹の酒盗、しめ鯖などなどどれも美味。ちびちび食べながらお酒のつまみにぴったりでした。また絶対行きますー♪
4.5,2024/03,小岩の源八が感動的だったので新小岩店にも行ってみました！・刺身三種盛り✖️海老・海老天・あしたば天・板わさもちろん生ビール。旨旨旨旨旨旨。厚切りお刺身最高！海老好きにはたまらない食べ応えありの大きさとぷりぷりの食感。年度末の締めくくり〜ご馳走様でした。
2.0,2024/03,・酒盗クリームチーズ・あさりガーリックバター・島寿司一人前・島とうがらしの卵焼き・ポテトフライ4155/人大衆居酒屋って感じです。居酒屋っぽいメニューがたくさんあります。どれも味濃いめでお酒が進む感じです
3.8,2024/03,新小岩駅から徒歩2分のところにある『源八船頭』八丈島の料理を中心に、沢山のメニューを楽しめる居酒屋です。アシタバの天麩羅や島寿司など、八丈島の料理はどれも美味しい。店員さんの雰囲気も良く、活気があり居心地が良いです。かなり満足感が高くて行って良かったです！船橋にも系列店があるそうです！
3.5,2024/03,25年前から通い続ける大好きなお店です。塩でアシタバの天ぷらは必ず食べます。土曜日、20時過ぎなら予約が取れました。いつ行っても満員で予約も取りづらいですが、島寿司も無性に食べたくなります。ゴーヤチャンプルーもよく注文します♪
3.5,2024/03,八丈島郷土料理 源八船頭 新小岩店でした。どうしてもここの寿司を食べたくて来ました。まったく臭みなく、美味しかったです♪焼売も、昔懐かしい感じがあり、良かったです。ここはまた飲み友と来ても良いかな。
3.7,2024/03,友人との新小岩はしご酒５軒目で源八船頭さんを訪問。（４軒目はかっぱ寿司行って写真撮ってなかった。。。）ここは明日葉の天ぷらがうまいと事前に調査済み。ということでもちろん頼んだんだけどマジで美味い！今まで食べた明日葉天で最強の美味さだった。さすがに５軒目だと他に何を食べたか覚えてないけど全体的に満足した記憶はある。また食べに行こう！
4.1,2024/03,木曜夜でもお客様がいっぱいです。料理出てくるの遅くなりそうだな～と思ってましたが○でした。揚げ物はもちろん時間かかりますがとてもとても美味しい！刺身は普段好んで食べませんが、とっても美味しい○始めに早く出てくるメニューを頼むと良いと思います。飲み物はとても早く出てきて最高です！バーコード注文って言うのも、そのままクレカ決済できるのも◎リピート決定です
3.5,2024/02,久しぶりに訪問しました。最初に島ずしからオーダー！やはり最高です！追加しようと思ったらシャリがなくってしまい残念！あしたばの天ぷらとカレイの唐揚げも毎回オーダーしている逸品です。全体的に少しボリュームダウンの気がします。今回はお酒を多めに頂き、満足の1日でした。また、伺います！
3.3,2024/02,代官山いっさい喝采の店主と新小岩に飲みに行きました。ビブグルマン掲載店のいっさい喝采も家族や従業員のために月に2回は日曜日も休業日にしているとのことで、だったら明るい時間から飲もうとこちらの店に。我々世代は八丈島と言えばがきデカで有名なキョン(台湾や中国生息の小型の鹿)ですが、実際は八丈島に野生のキョンはいないそうです。そのかわり千葉県内には行川アイランド(現在廃業)で飼育されていたキョンが逃げ出して野性化したキョンが繁殖して社会問題に。お店に関係無い話でした。八丈島は行ったことありませんが、八丈島近海で穫れたトビウオやメダイなどをヅケでいただくお寿司。甘酢のシャリとわさびではなくカラシを使ってました。どこにでもありがちなメニューではなく、ここならではの料理は良いですね。明日葉も名産らしく胡麻あえと天ぷらをいただきました。明日葉は苦みがあると言っても春菊ほどではありませんが、大人向け。夕方の早い時間から雨にも関わらず店内はいっぱい。900mlの焼酎ボトルもあっという間に無くなり、2軒目探しに行きましたが、新小岩駅周辺は色々と探索したい店が多く要チェックです。
3.5,2024/02,休日の夜に伺いました。カウンター席へ案内されました。料理はそれぞれボリューミーで、とても食べ応えがあります。写真のアシタバの天ぷらはこれでハーフサイズです。とても美味しくコスパのいいお店だったので、また伺いたいです。
4.0,2024/02,初訪。お刺身盛り合わせ明日葉の天ぷら（ハーフ)海鮮ゆっけ島寿司島寿司含め海鮮の厚み、鮮度がレベル高い。八丈島のローカルメニューも豊富で料理のボリュームもあり、色々なメニューの楽しみ方ができるお店です。明日葉は天ぷらならハーフで十分 笑
4.3,2024/02,夜に源八船頭にいってきました！以前友人に教えてもらい、気にいってよくいってます！お気に入りは島寿し！これが絶品です！料理は全部おいしいです！あとボリュームがあります！店員さんも気さくでいい店です！
3.5,2024/01,新小岩駅周辺でフラフラ歩いて入りました。雰囲気は昔懐かしい居酒屋さん的な感じでしょうか。テーブル席はいっぱいでお座敷に通していただきました。若い方からご年配の方まで、ワイワイガヤガヤな感じで楽しげです。八丈島の郷土料理ということで、あしたばの天ぷら(写真撮り忘れた(ﾉ∀`)ｱﾁｬｰ)、島らっきょう、島寿司をオーダーしました。島寿司は、他の呼び方だと、べっこう？とも言うんですかね。いわゆる魚の漬けのお寿司です。これが良い味なんです。すごく美味しい！天ぷらはチビチビ、島らっきょうは良い塩加減でボリボリとたべ、よいお酒のアテになりました。
3.6,2023/12,源八は定期的に利用します。いつ行っても混んでて、ずっと人気があるので平日の早い時間以外は予約は必須だと思われます。味は大味だけど、やはり美味しい！やっぱりお勧めは島寿司。味がついてるのでそのまま食べれます。画像は2人で一人前をシェアしたけど、ニ人前にすればよかったな。源八といえば明日葉だけど、天ぷらの量が半端ないので前は明日馬の胡麻和えが食べてたけど、ここ数年ずっと明日葉が不作みたいでしばらく天ぷらしか注文出来ないのが悲しい。。。エビマヨもエビが大きくて美味しい。金目の開きも美味しい。画像撮り忘れた厚揚げも美味しかった。店内満席で賑わってるけど、店員さんの対応も素晴らしい！ワイワイとお腹いっぱい食べたい人向けのお店です。ごちそうさまでした♩
3.6,2023/11,たまたま目の前を通りかかりランチの看板が気になったので入ってみました。お昼時の店内はとても賑わっていました。注文したのは、・1.5人前島寿司らんち　1100円お寿司はネタが大きめでどれも美味しい。ただ、一つ一つのネタの説明は無かったので、何の魚なのか分かりませんでした。笑でもお腹いっぱい美味しくて大満足でした。残念ながら、2023年でランチの営業は終了してしまうそうです。
4.5,2023/11,美味しすぎるのに高コスパな大衆居酒屋！！こういうお店、近くにあったらいいのになあ、、。何注文しても間違いないです〜定番のお寿司と明日葉の天ぷらは絶対に食べてほしい)^o^( -しま寿司-明日葉の天ぷら-ブリのかま焼き-ゴーヤチャンプル
3.7,2023/11,お刺身定食1200円とは思えない量とお刺身の種類でした♪お刺身は一枚一枚分厚く切られていて、皮目に沿ってコリコリした食感が楽しめました！　　　特にランチについてくるスープのブリは脂がプリッンプリッンで美味しかったです。ただ、肝心のお刺身が新鮮過ぎてまだお刺身に味がのっていないのが残念でした。ランチとしてのコスパの良さはとてもあると思いました。
5.0,2023/11,初来店なんでが、店内はとても賑やかで人気すぎて満席なことが多いみたいです！！メニューが沢山あり、お刺身も天ぷらにコスパがいいのがポイントです！外から店内は見えないので少し心配ですが店員さんもとても親切ですので安心して入店できるのでよかったら行ってみて！
4.4,2023/11,小岩に本店がある海鮮系の居酒屋刺し身が分厚い島寿司は絶品卵焼きも最高とても良いです特に島寿司は驚きの美味しさ必食ですすべての料理が量が多めなのは注意その分コスパ高いですもう少し日本酒も置いてくれると尚良し
3.3,2023/11,以前ランチでお邪魔した時に食べて美味しかったものを踏襲。まず、八丈島名物の「明日葉の天ぷら」と「島寿司」は外せない。他には、ランチでボリュームと味に大満足だった「あら煮」、メニューに「厚切り」と書かれた「刺身三種盛り」を注文。明日葉はサクサク、島寿司も刺身盛りも肉厚で旨し、あら煮は相変わらずの大ボリュームで食べ応えあり。ちょい飲みならこれだけで十分。たくさん飲むならもう少しお酒が安いとありがたいなぁ…飲み放題とか有ると良いけどね。ココはランチがお得で良いかも。
4.0,2023/10,友人の紹介で人気の島寿司を食べに来ました。甘みのある漬けマグロがシャリとの相性良くおいしかった！刺身は厚切りで食べ応え抜群。アシタバの天ぷらもサックリであっという間になくなってしまった。また、店の雰囲気がよく活気のあるお店でした。これは予約しないと入れませんね。焼酎は八丈島のジョナリーを注文。麦に芋をブレンドした焼酎は初体験。飲み始めは少し芋を感じながら、麦が後から付いてくる感じが新鮮でどんどん飲めちゃいます。
3.6,2023/10,新小岩駅から徒歩5分ほどにある居酒屋さん。八丈島の郷土料理を味わえる。スルメイカ沖漬け、島寿司、海鮮たっぷりサラダ、みぞれ唐揚げをオーダー。島寿司は甘醤油漬けされたネタが載っている寿司。ネタが変わっているのかと思った。これも八丈島の郷土料理らしい。美味しい。量が多めで満足度高め。
2.0,2023/10,平日の12時丁度位に入店。テーブルほぼ地元のサラリーマン、OLさん達でほぼ満席カウンター4名。島寿司ランチを注文。到着まで約20分。その間に入店したお客様さんが日替り注文したら終りましたとそっけない返事。回りもだいぶまたされてる感じで店内ピリピリ。寿司８貫と大きなあら汁に小鉢。最初に飲んだあら汁はぬるいと言うより冷たいくらい。寿司は半分がシャリ崩れる状態。10分程で食べ終わり外に出るとランチ終了の札。人がいなくて回らないのか材料少ないのかこんな状態でランチすべきではない。
4.0,2023/10,何年ぶりかに訪問するが変わらず大盛況。八丈島由来のメニューのほか、通常の居酒屋メニューも充実している。一品一品の量が多いため複数での利用が必須。八丈島で食べた島寿司が忘れられずこの店に来ると必ず注文。ご馳走様でした。
